transaction_id,investor_id,amfi_code,transaction_date,transaction_type,amount,units,state,kyc_status
37,10036,100010,2025-05-03,SIP,92919.04,68.129,TS,Verified
38,,100003,2025-03-22,REDEMPTION,9018.61,330.191,TN,N
39,10106,100004,2025-08-02,REDEMPTION,10546.53,401.966,TS,Y
40,10111,100012,2025-03-22,REDEMPTION,61435.98,383.502,GJ,Failed
41,10010,100029,2025-01-20,LUMPSUM,55346.2,461.163,KA,Pending
42,10144,100023,2025-01-21,REDEMPTION,95676.65,425.76,DL,Verified
43,10050,100006,2025-03-24,REDEMPTION,58491.0,109.709,TN,Pending
44,10033,100039,2025-03-03,SIP,43556.58,211.837,KA,Verified
45,10183,100014,2025-03-27,SIP,86031.41,30.431,MH,Pending
46,10088,100031,2025-09-03,LUMPSUM,41334.96,87.624,DL,Pending
47,10095,100013,2025-03-15,REDEMPTION,44222.41,394.664,TS,N
48,10055,100001,2025-02-16,SIP,64681.61,159.807,KA,Verified
49,10131,100036,2025-03-03,LUMPSUM,36664.26,431.258,TS,Verified
50,10095,100030,2025-03-03,REDEMPTION,83359.0,71.336,KA,Pending
51,10144,100030,2025-03-02,LUMPSUM,44337.09,183.865,WB,Verified
52,10108,100006,2025-01-27,REDEMPTION,23240.68,58.604,GJ,Pending
53,10075,100030,2025-01-31,LUMPSUM,5360.94,372.816,TN,Pending
54,10078,100039,2025-03-15,SIP,3039.54,243.984,TN,Y
55,10164,100012,2025-11-01,LUMPSUM,49839.72,13.783,DL,Pending
56,10089,100020,2025-04-01,LUMPSUM,90206.0,124.753,MH,Y
57,10033,100003,2025-02-28,LUMPSUM,39763.95,346.865,GJ,Failed
58,10178,100025,2025-07-01,LUMPSUM,85320.8,50.825,DL,Y
59,10021,100009,2025-01-21,LUMPSUM,50141.93,183.955,KA,Pending
60,10198,100022,2025-03-24,REDEMPTION,32828.23,242.362,TS,N
61,10099,100010,2025-01-26,LUMPSUM,22993.99,303.493,DL,Failed
62,10081,100026,2025-03-18,LUMPSUM,54740.99,52.026,TS,Failed
63,10055,100034,2025-06-03,SIP,93342.39,48.753,WB,Verified
64,10076,100027,2025-02-03,REDEMPTION,52458.26,310.81,TS,Failed
65,10188,100008,2025-03-03,LUMPSUM,52441.98,305.44,TS,N
66,10070,100037,2025-01-24,REDEMPTION,53995.97,248.443,MH,Verified
67,10152,100005,2025-06-02,REDEMPTION,59074.41,94.216,TS,N
68,10188,100009,2025-01-03,REDEMPTION,58290.87,104.065,TN,Y
69,10158,100034,2025-01-30,SIP,32392.25,338.685,KA,Verified
70,10010,100013,2025-06-02,SIP,1074.97,379.509,KA,Verified
71,10027,100003,2025-06-03,REDEMPTION,26882.89,170.067,TN,Y
72,10010,100010,2025-03-13,REDEMPTION,20286.32,305.169,KA,Pending
73,10034,100013,2025-03-21,LUMPSUM,25225.97,281.867,MH,N
74,10021,100036,2025-01-24,REDEMPTION,11505.54,200.813,TN,N
75,10197,100009,2025-02-28,LUMPSUM,78832.64,449.42,KA,N
76,10034,100017,2025-01-01,LUMPSUM,36713.93,267.212,TN,Y
77,10060,100025,2025-05-03,SIP,60143.89,250.101,MH,Verified
78,10118,100035,2025-02-24,SIP,41310.68,417.717,TN,N
79,10149,100023,2025-03-23,REDEMPTION,22053.23,78.831,MH,N
80,10097,100008,2025-02-19,REDEMPTION,24876.65,282.572,WB,Pending
81,10122,100002,2025-04-01,LUMPSUM,23424.49,341.704,TS,Verified
82,10192,100006,2025-10-01,LUMPSUM,35703.66,263.951,WB,Pending
83,10012,100018,2025-03-16,SIP,22522.16,433.767,GJ,Verified
84,10016,100011,2025-06-02,SIP,1899.97,335.807,TN,Y
85,10049,100027,2025-02-16,LUMPSUM,44469.9,321.832,GJ,Failed
86,10078,100011,2025-07-02,REDEMPTION,41543.16,156.427,GJ,Y
87,10146,100024,2025-03-01,LUMPSUM,70052.33,327.701,DL,Verified
88,10007,100011,2025-01-14,REDEMPTION,34135.24,92.154,WB,Pending
89,10097,100037,2025-03-24,REDEMPTION,25312.74,105.579,TS,Pending
90,10026,100036,2025-02-28,SIP,27526.42,127.661,GJ,Verified
91,10085,100031,2025-01-01,LUMPSUM,24066.91,495.237,GJ,N
92,,100020,2025-03-26,LUMPSUM,91993.12,130.253,KA,N
93,10034,100018,2025-01-20,REDEMPTION,63940.04,405.939,WB,Pending
94,,100020,2025-01-14,LUMPSUM,66492.89,174.225,KA,Y
95,10181,100014,2025-11-01,LUMPSUM,21628.51,265.048,DL,Y
96,,100007,2025-04-02,REDEMPTION,37291.47,12.896,KA,Pending
97,10141,100023,2025-12-02,LUMPSUM,72815.97,324.343,KA,Failed
98,10004,100034,2025-01-01,REDEMPTION,22987.18,111.025,TS,Verified
99,10126,100013,2025-05-03,LUMPSUM,38835.02,333.34,TN,Verified
100,10029,100006,2025-04-02,SIP,35681.34,105.563,KA,N
101,10085,100029,2025-02-02,SIP,34698.05,264.821,MH,N
102,10159,100005,2025-12-01,REDEMPTION,85367.74,359.867,TN,Failed
103,10007,100027,2025-01-17,SIP,63808.81,129.583,DL,Y
104,10013,100025,2025-02-01,SIP,22016.12,145.897,MH,Y
105,10169,100013,2025-01-21,SIP,39284.96,153.234,GJ,N
106,10170,100018,2025-11-01,LUMPSUM,8157.4,376.985,MH,Pending
107,10090,100020,2025-01-26,LUMPSUM,65664.37,27.028,DL,Y
108,10066,100036,2025-01-24,LUMPSUM,81782.39,390.875,WB,Pending
109,10112,100018,2025-07-02,LUMPSUM,94026.05,464.879,DL,Y
110,10105,100019,2025-11-02,SIP,31846.61,357.377,KA,Failed
111,10078,100025,2025-01-24,LUMPSUM,35970.49,129.976,MH,Verified
112,10037,100002,2025-09-02,LUMPSUM,85718.52,338.569,MH,Pending
113,10139,100036,2025-02-17,REDEMPTION,45027.84,63.374,WB,Verified
114,10040,100014,2025-01-25,REDEMPTION,98910.3,434.981,TN,N
115,10035,100026,2025-07-03,LUMPSUM,825.26,462.554,KA,Pending
116,10085,100001,2025-02-23,REDEMPTION,41437.87,303.41,DL,Pending
117,10063,100037,2025-03-15,SIP,99639.7,302.393,TN,Verified
118,10062,100004,2025-05-01,LUMPSUM,47046.38,84.649,DL,Failed
119,10045,100023,2025-01-02,SIP,52575.45,296.987,KA,Verified
120,10196,100037,2025-02-24,SIP,51362.62,242.943,TN,Pending
121,10075,100009,2025-01-26,REDEMPTION,83281.6,187.297,MH,Failed
122,10111,100019,2025-01-02,LUMPSUM,97760.73,157.317,KA,Verified
123,10121,100012,2025-04-02,SIP,91347.49,24.966,DL,Y
124,10183,100025,2025-03-19,REDEMPTION,94472.55,241.04,KA,N
125,10162,100010,2025-03-22,LUMPSUM,44653.38,238.166,KA,Failed
126,10177,100025,2025-06-01,LUMPSUM,10643.81,287.929,MH,Verified
127,,100032,2025-09-02,LUMPSUM,82932.24,92.922,KA,N
128,10081,100013,2025-03-24,LUMPSUM,58225.04,382.814,KA,Y
129,10152,100035,2025-04-03,LUMPSUM,92514.51,224.888,MH,Pending
130,10173,100016,2025-07-02,SIP,95543.55,245.017,WB,Pending
131,10010,100023,2025-11-03,LUMPSUM,22234.31,435.427,WB,Y
132,10069,100019,2025-01-31,SIP,7447.81,231.698,TN,Failed
133,10115,100033,2025-01-28,REDEMPTION,94339.96,234.434,TS,Failed
134,10074,100017,2025-02-25,REDEMPTION,1392.37,366.339,TS,N
135,10090,100036,2025-11-03,LUMPSUM,518.65,142.164,TN,Failed
136,10034,100030,2025-03-26,SIP,72394.07,340.191,MH,Failed
137,10007,100024,2025-03-16,SIP,39749.67,424.564,DL,Y
138,,100022,2025-02-27,SIP,1899.68,445.416,DL,N
139,10008,100027,2025-02-23,REDEMPTION,1244.51,262.929,KA,Pending
140,10114,100004,2025-12-01,SIP,41673.37,383.109,KA,Pending
141,10149,100009,2025-02-14,LUMPSUM,38978.02,130.975,WB,N
142,10117,100007,2025-09-03,REDEMPTION,4703.15,139.732,KA,N
143,10135,100000,2025-03-21,REDEMPTION,4492.49,338.462,TS,Y
144,10050,100038,2025-02-03,REDEMPTION,26308.36,108.72,KA,Y
145,10101,100031,2025-03-25,REDEMPTION,84044.35,292.726,MH,Y
146,10199,100004,2025-01-19,REDEMPTION,92694.59,112.622,TN,Verified
147,10075,100022,2025-05-03,REDEMPTION,49300.99,182.603,KA,Pending
148,10193,100007,2025-03-20,LUMPSUM,16688.4,282.269,DL,Verified
149,10010,100005,2025-11-02,REDEMPTION,47438.92,326.035,KA,Y
150,10150,100039,2025-01-13,REDEMPTION,48651.58,377.497,TS,Failed
151,10154,100036,2025-02-15,REDEMPTION,75433.95,324.712,TN,Verified
152,10039,100019,2025-05-01,REDEMPTION,43129.74,302.058,TS,Y
153,10142,100012,2025-06-03,REDEMPTION,39343.11,488.068,TN,Verified
154,10005,100017,2025-01-01,REDEMPTION,43694.47,275.24,MH,Pending
155,10198,100007,2025-03-29,LUMPSUM,50382.58,171.442,KA,Failed
156,10157,100023,2025-01-14,LUMPSUM,5372.61,476.489,KA,N
157,10126,100011,2025-02-02,REDEMPTION,13162.06,462.112,KA,Pending
158,10001,100031,2025-01-18,LUMPSUM,9548.89,15.54,WB,Verified
159,10050,100026,2025-12-03,LUMPSUM,42935.91,274.105,GJ,Y
160,10076,100039,2025-02-20,REDEMPTION,98064.79,25.129,MH,Failed
161,10049,100034,2025-07-01,SIP,66960.62,177.958,TN,Failed
162,10181,100008,2025-03-29,REDEMPTION,60028.61,1.103,GJ,Verified
163,10085,100027,2025-10-02,REDEMPTION,75326.04,366.1,MH,Failed
164,10177,100024,2025-07-03,SIP,13925.94,390.307,KA,N
165,10052,100030,2025-02-15,SIP,80913.55,232.307,DL,Verified
166,10181,100031,2025-03-14,REDEMPTION,82010.94,263.58,WB,Pending
167,10169,100013,2025-03-15,REDEMPTION,22426.38,393.799,DL,Verified
168,10120,100001,2025-03-22,LUMPSUM,30070.54,311.872,MH,Failed
169,10140,100036,2025-10-03,SIP,94468.38,354.687,TN,N
170,10163,100003,2025-03-14,REDEMPTION,62525.2,396.558,KA,Y
171,10024,100032,2025-01-16,SIP,17454.06,360.301,TN,N
172,10119,100029,2025-01-28,LUMPSUM,6957.45,105.263,TN,Failed
173,10082,100003,2025-01-20,REDEMPTION,6595.58,43.383,WB,Failed
174,10053,100020,2025-02-18,REDEMPTION,35076.13,398.203,TN,Y
175,10179,100021,2025-01-23,REDEMPTION,13487.67,328.812,TN,Pending
176,10194,100008,2025-01-25,REDEMPTION,65410.14,276.069,KA,Verified
177,10002,100034,2025-03-21,SIP,31523.11,48.591,GJ,Failed
178,10048,100038,2025-01-29,SIP,52279.24,6.074,TN,Verified
179,10084,100032,2025-07-01,REDEMPTION,94319.89,75.327,KA,Pending
180,10067,100031,2025-07-01,SIP,14561.02,281.515,TN,N
181,10130,100027,2025-03-14,SIP,8373.76,475.61,TS,Y
182,10020,100010,2025-03-22,LUMPSUM,51865.51,266.075,KA,Failed
183,10053,100029,2025-12-03,REDEMPTION,25731.05,483.462,KA,Y
184,10190,100001,2025-09-03,LUMPSUM,31438.44,76.289,GJ,Verified
185,10087,100037,2025-01-16,SIP,76261.21,228.536,KA,Failed
186,10146,100009,2025-06-02,LUMPSUM,57549.77,482.486,TS,Verified
187,10106,100027,2025-08-02,LUMPSUM,24035.74,490.214,DL,Verified
188,10055,100037,2025-10-03,SIP,72333.6,301.306,TN,N
189,10036,100010,2025-01-26,LUMPSUM,68314.16,214.934,DL,Failed
190,10155,100022,2025-04-01,SIP,2155.33,357.588,GJ,Pending
191,10178,100039,2025-03-24,REDEMPTION,16365.63,0.622,MH,N
192,10179,100039,2025-03-20,SIP,446.33,162.446,KA,Failed
193,10091,100038,2025-07-01,LUMPSUM,96010.6,215.37,DL,Y
194,10153,100020,2025-05-02,LUMPSUM,83510.26,67.228,KA,Y
195,10149,100030,2025-03-31,LUMPSUM,10295.57,280.405,WB,Pending
196,10150,100034,2025-03-02,LUMPSUM,90351.71,76.564,KA,Verified
197,10137,100027,2025-12-02,REDEMPTION,61253.77,454.907,TN,Failed
198,10118,100008,2025-12-02,REDEMPTION,13200.07,150.465,KA,Failed
199,10131,100016,2025-09-03,REDEMPTION,64191.26,423.32,MH,Pending
200,10132,100025,2025-03-18,LUMPSUM,5556.28,383.049,MH,N
201,10105,100034,2025-02-13,LUMPSUM,92599.16,386.303,MH,N
202,10057,100033,2025-01-13,REDEMPTION,94114.23,233.502,GJ,Pending
203,10103,100033,2025-10-01,REDEMPTION,46982.12,262.685,DL,Pending
204,10011,100035,2025-01-02,LUMPSUM,62455.68,475.738,TN,Verified
205,10054,100035,2025-04-01,REDEMPTION,43128.82,358.781,KA,Failed
206,10070,100015,2025-05-01,REDEMPTION,84587.51,119.996,TS,Y
207,,100005,2025-01-14,SIP,76923.66,99.105,TS,N
208,10083,100027,2025-09-03,LUMPSUM,23129.66,390.402,KA,Failed
209,10176,100031,2025-03-14,SIP,40447.78,3.615,TS,Failed
210,10004,100003,2025-02-17,LUMPSUM,76666.61,303.329,KA,Pending
211,10120,100019,2025-01-01,LUMPSUM,3771.34,243.514,MH,Failed
212,10135,100026,2025-01-20,SIP,20454.26,362.907,MH,Failed
213,10188,100012,2025-02-03,REDEMPTION,42422.92,468.449,TN,N
214,10078,100003,2025-01-15,SIP,15945.61,487.504,TN,Verified
215,10192,100035,2025-03-15,SIP,50914.68,45.659,WB,Pending
216,10150,100033,2025-03-03,SIP,84399.31,268.381,KA,Pending
217,10051,100033,2025-01-30,SIP,45333.62,487.619,KA,Y
218,10029,100034,2025-08-03,LUMPSUM,9354.63,237.85,TN,N
219,10123,100000,2025-03-20,REDEMPTION,36815.51,156.239,WB,Failed
220,10138,100038,2025-01-15,SIP,50325.43,241.886,WB,Pending
221,10141,100015,2025-07-02,REDEMPTION,82350.77,226.858,DL,Y
222,10041,100013,2025-10-02,LUMPSUM,66122.21,134.076,WB,N
223,10047,100014,2025-02-16,LUMPSUM,75274.45,152.246,KA,Pending
224,10071,100009,2025-01-03,SIP,11159.61,129.616,TS,Failed
225,10050,100027,2025-01-20,LUMPSUM,27166.27,291.028,MH,Verified
226,10096,100015,2025-01-23,REDEMPTION,15045.65,193.09,WB,Pending
227,10173,100024,2025-12-03,LUMPSUM,5491.99,374.384,TS,N
228,10168,100034,2025-02-18,SIP,53312.22,20.107,TN,N
229,10193,100016,2025-01-26,LUMPSUM,98483.42,314.384,KA,N
230,10127,100009,2025-02-28,LUMPSUM,85589.1,277.851,KA,Verified
231,10137,100026,2025-01-30,LUMPSUM,40905.88,472.423,KA,Y
232,10065,100027,2025-01-21,LUMPSUM,26256.41,382.985,TS,N
233,10019,100008,2025-02-03,REDEMPTION,74678.8,494.057,KA,N
234,,100007,2025-03-25,LUMPSUM,36017.01,315.037,WB,Y
235,10121,100024,2025-03-25,REDEMPTION,11872.67,220.822,WB,N
236,10022,100030,2025-03-23,SIP,39021.9,134.565,KA,N
237,10064,100000,2025-01-18,LUMPSUM,2869.08,174.204,MH,Failed
238,10104,100022,2025-02-19,SIP,20141.63,247.333,WB,Verified
239,10158,100004,2025-09-01,LUMPSUM,48754.93,349.397,GJ,Y
240,10049,100004,2025-02-13,LUMPSUM,56528.42,300.447,KA,Verified
241,10082,100017,2025-03-17,REDEMPTION,24454.16,281.472,WB,Failed
242,10114,100016,2025-11-02,SIP,69796.2,497.861,GJ,N
243,10069,100029,2025-02-17,REDEMPTION,3291.32,374.587,TN,Failed
244,10090,100019,2025-05-03,LUMPSUM,47587.07,426.405,KA,N
245,10110,100011,2025-02-24,REDEMPTION,39547.57,108.365,GJ,Pending
246,10177,100009,2025-03-29,SIP,74006.54,18.178,TS,Pending
247,10113,100019,2025-02-02,REDEMPTION,22073.15,33.404,DL,N
248,10128,100005,2025-05-03,REDEMPTION,56520.46,216.614,GJ,N
249,10196,100002,2025-03-21,LUMPSUM,43968.34,327.233,MH,N
250,10086,100010,2025-03-13,REDEMPTION,26420.96,196.149,TS,N
251,,100010,2025-03-13,REDEMPTION,70153.17,197.984,DL,Y
252,10081,100009,2025-01-27,REDEMPTION,57911.53,229.95,KA,Y
253,,100038,2025-01-13,LUMPSUM,3354.44,154.751,GJ,Y
254,10052,100033,2025-02-02,LUMPSUM,23458.35,113.299,DL,N
255,10011,100014,2025-03-13,REDEMPTION,64537.51,274.442,KA,Pending
256,10036,100038,2025-12-03,SIP,37160.58,144.121,TN,Pending
257,10183,100015,2025-03-21,LUMPSUM,8044.13,258.002,GJ,Y
258,10062,100032,2025-02-28,SIP,64638.85,416.504,KA,Pending
259,10122,100025,2025-01-26,SIP,17069.0,151.969,TS,N
260,10199,100022,2025-01-28,REDEMPTION,22793.58,45.81,MH,Verified
261,,100036,2025-03-26,REDEMPTION,44255.77,461.155,KA,N
262,10126,100004,2025-02-01,LUMPSUM,54257.94,372.357,KA,Failed
263,10033,100032,2025-08-03,REDEMPTION,56696.17,163.02,TN,N
264,10064,100016,2025-01-29,LUMPSUM,60770.84,398.809,MH,Y
265,10165,100022,2025-01-17,SIP,45761.36,267.077,KA,Pending
266,10037,100015,2025-01-23,LUMPSUM,47244.49,194.729,WB,Verified
267,10107,100025,2025-01-15,LUMPSUM,65026.84,108.575,TN,N
268,10049,100014,2025-01-31,LUMPSUM,94111.81,163.736,TN,Verified
269,10034,100026,2025-03-19,LUMPSUM,38060.7,123.657,KA,Pending
270,10124,100034,2025-03-29,REDEMPTION,93703.36,163.479,DL,Verified
271,10173,100030,2025-02-18,SIP,21837.21,226.472,KA,Verified
272,10057,100023,2025-01-21,SIP,90745.16,141.941,GJ,Verified
273,10147,100028,2025-10-03,LUMPSUM,49350.95,431.216,GJ,Verified
274,10011,100027,2025-05-03,REDEMPTION,27535.55,125.639,KA,Verified
275,10138,100023,2025-01-28,REDEMPTION,12340.14,166.156,TN,N
276,10077,100029,2025-05-01,LUMPSUM,94001.22,28.477,KA,Y
277,10100,100038,2025-01-13,REDEMPTION,44433.77,91.626,KA,Failed
278,10130,100004,2025-03-29,SIP,32386.3,363.53,TN,Verified
279,10088,100039,2025-01-19,SIP,69937.95,167.308,TS,N
280,10168,100034,2025-03-22,SIP,31139.83,183.673,KA,Pending
281,10157,100028,2025-09-01,REDEMPTION,61166.22,424.255,KA,N
282,10171,100011,2025-02-21,REDEMPTION,36228.13,492.432,KA,Verified
283,10123,100030,2025-03-18,SIP,23065.81,83.777,WB,Failed
284,,100036,2025-01-01,LUMPSUM,51021.3,0.178,WB,Y
285,10065,100005,2025-01-24,SIP,20690.2,141.617,KA,Failed
286,10071,100016,2025-11-01,REDEMPTION,98060.9,444.294,KA,N
287,,100008,2025-03-17,REDEMPTION,21462.59,477.613,DL,Verified
288,,100007,2025-03-25,SIP,65663.66,222.617,GJ,Failed
289,10181,100024,2025-02-01,LUMPSUM,47814.81,290.758,WB,Failed
290,10141,100024,2025-05-01,SIP,67975.24,179.834,WB,Verified
291,10025,100014,2025-01-15,LUMPSUM,44045.86,292.496,KA,Pending
292,10056,100002,2025-07-02,SIP,64655.22,356.178,TN,Verified
293,10103,100010,2025-01-25,LUMPSUM,35334.35,94.196,KA,Pending
294,10060,100032,2025-02-24,LUMPSUM,51179.14,17.699,TS,Y
295,10198,100030,2025-03-15,LUMPSUM,69193.31,490.684,DL,Failed
296,10104,100004,2025-03-24,LUMPSUM,6808.36,465.874,GJ,Failed
297,10004,100032,2025-08-03,SIP,69462.62,415.6,GJ,Failed
298,10005,100030,2025-11-01,SIP,80593.69,230.956,KA,Pending
299,,100013,2025-02-14,REDEMPTION,58363.38,323.455,TS,N
300,10088,100006,2025-10-03,REDEMPTION,4671.03,177.328,KA,N
301,10168,100000,2025-02-23,SIP,11645.0,28.41,MH,N
302,10057,100037,2025-04-03,REDEMPTION,15776.24,390.354,MH,N
303,10010,100010,2025-03-15,REDEMPTION,199.63,53.091,MH,Y
304,10021,100015,2025-01-31,SIP,94899.79,327.031,GJ,Y
305,10108,100004,2025-01-17,SIP,53962.14,195.798,MH,N
306,10007,100021,2025-11-03,REDEMPTION,9121.14,411.197,MH,Pending
307,10014,100017,2025-03-20,SIP,88762.41,54.443,TN,Verified
308,10178,100032,2025-01-30,LUMPSUM,80653.66,458.73,TS,Failed
309,10039,100038,2025-01-17,SIP,46040.27,231.575,GJ,Failed
310,10176,100016,2025-01-27,LUMPSUM,82355.69,242.198,KA,Failed
311,10168,100020,2025-01-22,SIP,96428.05,361.67,DL,Y
312,10155,100038,2025-06-01,REDEMPTION,53615.26,297.021,MH,Y
313,10084,100000,2025-03-28,REDEMPTION,29959.51,269.397,KA,Verified
314,10162,100031,2025-02-14,LUMPSUM,8579.14,163.687,KA,Pending
315,10177,100007,2025-01-17,REDEMPTION,7816.82,39.962,TN,Pending
316,10079,100005,2025-03-13,SIP,99937.5,327.428,DL,Verified
317,10153,100021,2025-04-01,LUMPSUM,64244.78,245.647,WB,Failed
318,10198,100022,2025-09-01,SIP,16395.52,480.14,TS,Pending
319,10070,100001,2025-01-24,LUMPSUM,46887.45,428.926,MH,Verified
320,10016,100028,2025-10-02,REDEMPTION,16759.66,298.029,GJ,N
321,10177,100016,2025-12-02,SIP,52015.33,47.937,WB,N
322,10041,100020,2025-03-03,REDEMPTION,14256.81,281.201,KA,Verified
323,10008,100007,2025-04-02,LUMPSUM,82811.27,405.061,WB,Verified
324,10019,100013,2025-03-16,LUMPSUM,58822.84,291.915,TS,Failed
326,10092,100002,2025-11-01,LUMPSUM,95436.65,308.131,KA,Y
327,10081,100005,2025-02-01,REDEMPTION,90906.64,89.348,TS,Failed
328,10065,100020,2025-11-03,SIP,89101.93,294.984,GJ,Pending
330,10171,100035,2025-02-22,REDEMPTION,45707.48,214.842,TN,Verified
331,10180,100038,2025-05-01,REDEMPTION,25334.56,322.165,MH,N
332,10110,100029,2025-02-23,LUMPSUM,18397.72,396.299,TN,N
333,10010,100016,2025-01-25,REDEMPTION,64564.49,331.01,KA,Failed
334,10089,100012,2025-03-13,SIP,38365.86,21.497,MH,Failed
335,10016,100032,2025-01-27,REDEMPTION,33533.29,431.0,MH,Y
336,10096,100029,2025-03-19,SIP,82046.21,375.753,WB,Failed
337,10165,100003,2025-01-30,LUMPSUM,13033.81,270.085,DL,Failed
338,10183,100023,2025-02-02,REDEMPTION,88808.88,157.204,GJ,Y
339,10052,100034,2025-01-25,REDEMPTION,63192.47,157.545,WB,Pending
340,10036,100008,2025-01-31,REDEMPTION,73798.6,141.125,KA,Y
341,10007,100030,2025-01-26,SIP,51049.02,127.926,DL,Failed
342,10056,100038,2025-02-25,REDEMPTION,12245.29,326.219,GJ,Pending
343,10045,100024,2025-02-26,LUMPSUM,46453.54,483.558,TN,Failed
344,10113,100019,2025-02-18,SIP,9926.38,457.447,KA,N
345,,100001,2025-10-02,SIP,30279.08,87.611,WB,Pending
346,10117,100003,2025-01-15,REDEMPTION,1842.96,233.566,DL,Failed
347,10093,100021,2025-03-29,REDEMPTION,52693.68,21.519,KA,Verified
348,10045,100000,2025-03-31,SIP,23244.46,403.631,MH,Failed
349,10070,100033,2025-01-17,REDEMPTION,58679.04,269.653,KA,Y
350,10180,100001,2025-02-24,LUMPSUM,84347.14,21.055,WB,Verified
351,10129,100003,2025-03-14,SIP,10624.67,60.92,WB,N
352,10172,100020,2025-01-19,LUMPSUM,87244.5,417.177,KA,Failed
353,10141,100001,2025-01-19,REDEMPTION,64665.09,121.932,TN,Failed
354,10144,100004,2025-12-02,REDEMPTION,19762.47,15.567,WB,Failed
355,10134,100006,2025-02-15,SIP,12295.94,286.474,TN,Failed
356,,100009,2025-06-01,LUMPSUM,66334.03,384.743,TS,N
357,10047,100021,2025-03-01,LUMPSUM,32452.99,391.408,KA,N
358,10163,100010,2025-01-28,SIP,22548.81,341.005,MH,N
359,10169,100034,2025-11-03,REDEMPTION,21792.8,315.549,TS,Y
360,10102,100035,2025-07-01,LUMPSUM,39088.4,141.313,MH,N
361,10078,100019,2025-02-17,LUMPSUM,49831.32,101.636,TS,Failed
362,10058,100015,2025-10-01,LUMPSUM,29244.57,275.813,DL,Failed
363,10090,100039,2025-09-01,REDEMPTION,24069.03,271.036,KA,Failed
364,10093,100010,2025-03-22,REDEMPTION,94790.63,269.41,TS,Failed
365,10058,100005,2025-02-23,LUMPSUM,79962.0,447.384,KA,Failed
366,10089,100014,2025-02-15,LUMPSUM,68375.07,37.702,KA,Pending
367,10065,100011,2025-03-26,REDEMPTION,102.38,390.919,GJ,Y
368,10068,100015,2025-03-23,LUMPSUM,26372.5,178.199,MH,Failed
369,10038,100005,2025-03-22,REDEMPTION,7428.46,460.657,TS,Verified
370,10151,100032,2025-03-15,LUMPSUM,53128.21,453.654,KA,Verified
371,10044,100011,2025-01-03,REDEMPTION,64412.16,16.729,WB,Failed
372,10050,100031,2025-03-15,LUMPSUM,63688.16,8.114,DL,N
373,10094,100035,2025-03-18,LUMPSUM,8874.91,187.341,KA,N
374,10044,100028,2025-07-03,SIP,56536.8,205.497,GJ,Y
375,10070,100000,2025-02-17,LUMPSUM,26727.56,141.733,TN,N
